00:29:12,82,3,18,35.96
22:05,84,5,30,45.98
00:29:14,80,3,10,35.31
22:05,88,7,35,56.42
00:29:17,77,6,21,48.64
22:05,80,6,38,49.68
00:29:19,79,5,34,44.70
22:05,78,7,49,53.96
00:29:22,75,3,11,33.99
00:29:24,82,3,25,36.06
22:05,81,4,44,40.72
00:29:27,74,6,39,48.09
22:05,84,6,24,50.55
00:29:29,83,6,38,50.48
22:05,81,7,31,54.50
00:29:32,73,6,12,47.44
22:05,84,5,23,45.88
00:29:34,74,4,17,38.47
22:05,88,4,45,42.60
00:29:37,77,6,26,48.71
00:29:39,78,4,15,39.51
22:05,79,4,40,40.13
00:29:42,74,6,39,48.09
22:05,83,7,28,54.99
00:29:44,83,4,26,41.00
22:05,82,6,46,50.33
00:29:47,73,5,12,42.79
22:05,83,6,37,50.46
00:29:49,75,5,34,43.63
22:05,84,7,36,55.37
00:29:52,84,3,16,36.46
00:29:54,76,6,15,48.29
22:05,79,5,43,44.83
00:29:57,75,5,24,43.49
22:05,83,6,48,50.62
00:29:59,77,4,30,39.45
22:05,82,6,21,49.97
00:30:02,84,5,12,45.72
22:05,86,4,24,41.77
00:30:04,72,3,24,33.38
22:05,85,5,36,46.33
00:30:07,81,3,18,35.69
00:30:09,77,5,20,43.97
22:05,87,6,46,51.66
00:30:12,79,6,27,49.26
22:05,78,4,48,39.98
00:30:14,81,4,13,40.28
22:05,88,6,37,51.80
00:30:17,74,6,22,47.85
22:05,88,6,33,51.74
00:30:19,77,3,23,34.70
22:05,88,4,22,42.27
